"Type"	"Sex"	"Speaker"	"Vowel"	"F0"	"F1"	"F2"	"F3"	"IPA"
"379"	"w"	"f"	38	"uw"	188.5	360	760	2840	"u"
"380"	"w"	"f"	38	"er"	187	491.5	2025	2390	"ɚ"
"381"	"w"	"f"	39	"iy"	237.5	317.5	2725	3162.5	"i"
"382"	"w"	"f"	39	"ih"	240.5	370	2640	3100	"ɪ"
"383"	"w"	"f"	39	"eh"	216.5	540	2415	2900	"ɛ"
"384"	"w"	"f"	39	"ae"	160.5	815.5	1915	2575	"æ"
"385"	"w"	"f"	39	"ah"	187	692	1492.5	2675	"ʌ"
"386"	"w"	"f"	39	"aa"	202.5	757	1177	2825	"ɑ"
"387"	"w"	"f"	39	"ao"	223.5	507.5	805	2765	"ɔ"
"388"	"w"	"f"	39	"uh"	223.5	458.5	1430	2500	"ʊ"
"389"	"w"	"f"	39	"uw"	212.5	425	1040	2375	"u"
"390"	"w"	"f"	39	"er"	186.5	515.5	1750	2255	"ɚ"
"391"	"w"	"f"	40	"iy"	208	300	3100	3450	"i"
"392"	"w"	"f"	40	"ih"	217	434	2605	3040	"ɪ"
"393"	"w"	"f"	40	"eh"	210	516	2530	3185	"ɛ"
"394"	"w"	"f"	40	"ae"	193.5	880	2225	2840	"æ"
"395"	"w"	"f"	40	"ah"	209	837	1475	2700	"ʌ"
"396"	"w"	"f"	40	"aa"	190	1000	1290	3000	"ɑ"
"397"	"w"	"f"	40	"ao"	218.5	547	885	2505	"ɔ"
"398"	"w"	"f"	40	"uh"	233	466	1247.5	2775	"ʊ"
"399"	"w"	"f"	40	"uw"	177.5	325	845	2775	"u"
"400"	"w"	"f"	40	"er"	217.5	396	1845	2190	"ɚ"
"401"	"w"	"f"	41	"iy"	229	338.5	2710	3250	"i"
"402"	"w"	"f"	41	"ih"	237	474.5	2385	3092.5	"ɪ"
"403"	"w"	"f"	41	"eh"	231	553	2360	3120	"ɛ"
"404"	"w"	"f"	41	"ae"	225	675	2192.5	3005	"æ"
"405"	"w"	"f"	41	"ah"	229	682.5	1590.5	2911.5	"ʌ"
"406"	"w"	"f"	41	"aa"	227.5	866.5	1312	2845	"ɑ"
"407"	"w"	"f"	41	"ao"	229	587	951.5	2275	"ɔ"
"408"	"w"	"f"	41	"uh"	236.5	508.5	1352.5	2800	"ʊ"
"409"	"w"	"f"	41	"uw"	234	398	1150	2660	"u"
"410"	"w"	"f"	41	"er"	229	469.5	1635	2170	"ɚ"
"411"	"w"	"f"	42	"iy"	227.5	227.5	2805	3850	"i"
"412"	"w"	"f"	42	"ih"	234	429.5	2567.5	3150	"ɪ"
"413"	"w"	"f"	42	"eh"	214	557.5	2570	3200	"ɛ"
"414"	"w"	"f"	42	"ae"	202.5	811.5	2160	2885	"æ"
"415"	"w"	"f"	42	"ah"	233.5	744	1400	2785	"ʌ"
"416"	"w"	"f"	42	"aa"	203	915	1320	3100	"ɑ"
"417"	"w"	"f"	42	"ao"	209.5	562	880.5	2770	"ɔ"
"418"	"w"	"f"	42	"uh"	241.5	501.5	1360	2630	"ʊ"
"419"	"w"	"f"	42	"uw"	237.5	402.5	1165	2500	"u"
"420"	"w"	"f"	42	"er"	229	503	1820	2240	"ɚ"
"421"	"w"	"f"	43	"iy"	245	307.5	2950	3670	"i"
"422"	"w"	"f"	43	"ih"	244	488	2375	3105	"ɪ"
"423"	"w"	"f"	43	"eh"	235.5	753	2335	3117.5	"ɛ"
"424"	"w"	"f"	43	"ae"	203	1024	1995	2835	"æ"
"425"	"w"	"f"	43	"ah"	228.5	865	1525	2850	"ʌ"
"426"	"w"	"f"	43	"aa"	221	781	1286.5	2809	"ɑ"
"427"	"w"	"f"	43	"ao"	231	668.5	980	2850	"ɔ"
"428"	"w"	"f"	43	"uh"	233	489.5	1189	2612.5	"ʊ"
"429"	"w"	"f"	43	"uw"	241.5	435	905	2730	"u"
"430"	"w"	"f"	43	"er"	227.5	637	1730	2056.5	"ɚ"
"431"	"w"	"f"	44	"iy"	250	260	2800	3305	"i"
"432"	"w"	"f"	44	"ih"	265.5	531	2570	3310	"ɪ"
"433"	"w"	"f"	44	"eh"	244	725	2430	3125	"ɛ"
"434"	"w"	"f"	44	"ae"	235	1012.5	1975	2915	"æ"
"435"	"w"	"f"	44	"ah"	256.5	800	1450	2800	"ʌ"
"436"	"w"	"f"	44	"aa"	252	956.5	1260	2785	"ɑ"
"437"	"w"	"f"	44	"ao"	246.5	566	800	2800	"ɔ"
"438"	"w"	"f"	44	"uh"	258	400	1085	2775	"ʊ"
"439"	"w"	"f"	44	"uw"	253	329	695	2530	"u"
"440"	"w"	"f"	44	"er"	255	510	1530	1785	"ɚ"
"441"	"w"	"f"	45	"iy"	239	239	2780	3780	"i"
"442"	"w"	"f"	45	"ih"	232	432	2627.5	3115	"ɪ"
"443"	"w"	"f"	45	"eh"	225.5	621	2400	3020	"ɛ"
"444"	"w"	"f"	45	"ae"	205	995	2110	2910	"æ"
"445"	"w"	"f"	45	"ah"	208.5	784	1365	2575	"ʌ"
"446"	"w"	"f"	45	"aa"	215	860	1160	2770	"ɑ"
"447"	"w"	"f"	45	"ao"	215	503.5	750.5	2620	"ɔ"
"448"	"w"	"f"	45	"uh"	222	470	1075	2452	"ʊ"
"449"	"w"	"f"	45	"uw"	262.5	385	1050	2450	"u"
"450"	"w"	"f"	45	"er"	211.5	477	1460	1710	"ɚ"
"451"	"w"	"f"	46	"iy"	229	350	2880	3350	"i"
"452"	"w"	"f"	46	"ih"	247.5	507	2625	3165	"ɪ"
"453"	"w"	"f"	46	"eh"	227	650	2437.5	3060	"ɛ"
"454"	"w"	"f"	46	"ae"	225	1010	2115	2735	"æ"
"455"	"w"	"f"	46	"ah"	221	762	1481	2910	"ʌ"
"456"	"w"	"f"	46	"aa"	214	998	1372.5	2955	"ɑ"
"457"	"w"	"f"	46	"ao"	217.5	649.5	1064.5	2499.5	"ɔ"
"458"	"w"	"f"	46	"uh"	240	480	1175	2665	"ʊ"
"459"	"w"	"f"	46	"uw"	228.5	400	941.5	2890	"u"
"460"	"w"	"f"	46	"er"	235.5	597.5	1665	1935	"ɚ"
"461"	"w"	"f"	47	"iy"	285.5	297.5	2900	3450	"i"
"462"	"w"	"f"	47	"ih"	258.5	460	2645	3320	"ɪ"
"463"	"w"	"f"	47	"eh"	216.5	535	2355	3090	"ɛ"
"464"	"w"	"f"	47	"ae"	223.5	815	2170	3020	"æ"
"465"	"w"	"f"	47	"ah"	275	800	1365	2850	"ʌ"
"466"	"w"	"f"	47	"aa"	256	900	1265	2930	"ɑ"
"467"	"w"	"f"	47	"ao"	182.5	710	1065	2890	"ɔ"
"468"	"w"	"f"	47	"uh"	245.5	555	1200	2915	"ʊ"
"469"	"w"	"f"	47	"uw"	309	420	985	2765	"u"
"470"	"w"	"f"	47	"er"	273	540	1925	2415	"ɚ"
"471"	"w"	"f"	48	"iy"	204	350	2755	3120	"i"
"472"	"w"	"f"	48	"ih"	180.5	500	2420	2975	"ɪ"
"473"	"w"	"f"	48	"eh"	221	620	2480	2900	"ɛ"
"474"	"w"	"f"	48	"ae"	218	1090	2060	2725	"æ"
"475"	"w"	"f"	48	"ah"	216.5	840	1270	2635	"ʌ"
"476"	"w"	"f"	48	"aa"	160	845	1115	2890	"ɑ"
"477"	"w"	"f"	48	"ao"	206	440	710	2815	"ɔ"
"478"	"w"	"f"	48	"uh"	224.5	390	900	2750	"ʊ"
"479"	"w"	"f"	48	"uw"	192	340	735	2815	"u"
"480"	"w"	"f"	48	"er"	191.5	575	1765	2040	"ɚ"
"481"	"w"	"f"	49	"iy"	201.5	312	2370	3015	"i"
"482"	"w"	"f"	49	"ih"	210.5	432	2155	2760	"ɪ"
"483"	"w"	"f"	49	"eh"	200	550	2275	2765	"ɛ"
"484"	"w"	"f"	49	"ae"	189.5	852.5	1712	2415	"æ"
"485"	"w"	"f"	49	"ah"	195.5	713.5	1455	2410	"ʌ"
"486"	"w"	"f"	49	"aa"	196	733.5	1115	2505	"ɑ"
"487"	"w"	"f"	49	"ao"	200	600	880	2405	"ɔ"
"488"	"w"	"f"	49	"uh"	210	504	1165	2355	"ʊ"
"489"	"w"	"f"	49	"uw"	238.5	400	1015	2280	"u"
"490"	"w"	"f"	49	"er"	202	500	1375	1680	"ɚ"
"491"	"w"	"f"	50	"iy"	201.5	403	2600	3022.5	"i"
"492"	"w"	"f"	50	"ih"	205	440	2302.5	2817.5	"ɪ"
"493"	"w"	"f"	50	"eh"	198.5	554	2137.5	2800	"ɛ"
"494"	"w"	"f"	50	"ae"	191	840	1826.5	2652.5	"æ"
"495"	"w"	"f"	50	"ah"	200	760	1450	2490	"ʌ"
"496"	"w"	"f"	50	"aa"	200	819	1238	2565	"ɑ"
"497"	"w"	"f"	50	"ao"	196	587.5	1086.5	2545	"ɔ"
"498"	"w"	"f"	50	"uh"	207	494	1242.5	2485	"ʊ"
"499"	"w"	"f"	50	"uw"	206	350	985	2465	"u"
"500"	"w"	"f"	50	"er"	203	537	1570	1927.5	"ɚ"
"501"	"w"	"f"	51	"iy"	245	380	2850	3330	"i"
"502"	"w"	"f"	51	"ih"	235	493.5	2630	2950	"ɪ"
"503"	"w"	"f"	51	"eh"	223.5	544	2460	3021	"ɛ"
"504"	"w"	"f"	51	"ae"	210.5	743	2245	2980	"æ"
"505"	"w"	"f"	51	"ah"	207	786	1310	2680	"ʌ"
"506"	"w"	"f"	51	"aa"	194	791.5	1175	2820	"ɑ"
"507"	"w"	"f"	51	"ao"	221	608.5	1006	2670	"ɔ"
"508"	"w"	"f"	51	"uh"	241	482	930	2730	"ʊ"
"509"	"w"	"f"	51	"uw"	241.5	347.5	841.5	2510	"u"
"510"	"w"	"f"	51	"er"	229	458	1655	1957.5	"ɚ"
"511"	"w"	"f"	52	"iy"	189	338	2752.5	3150	"i"
"512"	"w"	"f"	52	"ih"	194	407	2541	3045	"ɪ"
"513"	"w"	"f"	52	"eh"	189	563.5	2266	2817.5	"ɛ"
"514"	"w"	"f"	52	"ae"	175	700	2085	2694	"æ"
"515"	"w"	"f"	52	"ah"	185	621	1474	2680	"ʌ"
"516"	"w"	"f"	52	"aa"	165	758	1122.5	2490	"ɑ"
"517"	"w"	"f"	52	"ao"	173	612.5	951.5	2615	"ɔ"
"518"	"w"	"f"	52	"uh"	200	440	1230	2620	"ʊ"
"519"	"w"	"f"	52	"uw"	187.5	375	1133.5	2692.5	"u"
"520"	"w"	"f"	52	"er"	181.5	508.5	1571.5	1832.5	"ɚ"
"521"	"w"	"f"	53	"iy"	277.5	348.5	2830	3355	"i"
"522"	"w"	"f"	53	"ih"	291	472.5	2599	3060	"ɪ"
"523"	"w"	"f"	53	"eh"	245	718.5	2337.5	3040	"ɛ"
"524"	"w"	"f"	53	"ae"	208.5	995	2150	3130	"æ"
"525"	"w"	"f"	53	"ah"	267.5	915	1600	3000	"ʌ"
"526"	"w"	"f"	53	"aa"	271	988.5	1204.5	2770	"ɑ"
"527"	"w"	"f"	53	"ao"	280	573.5	1029	3210	"ɔ"
"528"	"w"	"f"	53	"uh"	277.5	515	1382.5	3160	"ʊ"
"529"	"w"	"f"	53	"uw"	300	405	1002.5	3045	"u"
"530"	"w"	"f"	53	"er"	222	482	1840	2270	"ɚ"
"531"	"w"	"f"	54	"iy"	210	230	2805	3750	"i"
"532"	"w"	"f"	54	"ih"	222	321.5	2500	3015	"ɪ"
"533"	"w"	"f"	54	"eh"	216	615.5	2340	2850	"ɛ"
"534"	"w"	"f"	54	"ae"	211	700	2185	2640	"æ"
"535"	"w"	"f"	54	"ah"	215.5	790	1495	2390	"ʌ"
"536"	"w"	"f"	54	"aa"	199.5	997.5	1396	2365	"ɑ"
"537"	"w"	"f"	54	"ao"	202.5	688	952	2315	"ɔ"
"538"	"w"	"f"	54	"uh"	216.5	377.5	1029	2385	"ʊ"
"539"	"w"	"f"	54	"uw"	224.5	334.5	888.5	2540	"u"
"540"	"w"	"f"	54	"er"	203.5	400	1310	1520	"ɚ"
"541"	"w"	"f"	55	"iy"	230.5	287.5	2800	3475	"i"
"542"	"w"	"f"	55	"ih"	232.5	383.5	2410	3065	"ɪ"
"543"	"w"	"f"	55	"eh"	219.5	439	2365	3080	"ɛ"
"544"	"w"	"f"	55	"ae"	205.5	878.5	2070	2900	"æ"
"545"	"w"	"f"	55	"ah"	224	672	1177.5	2785	"ʌ"
"546"	"w"	"f"	55	"aa"	210	833	1081.5	2775	"ɑ"
"547"	"w"	"f"	55	"ao"	201.5	594.5	885	2870	"ɔ"
"548"	"w"	"f"	55	"uh"	230	405	1000	2605	"ʊ"
"549"	"w"	"f"	55	"uw"	220	318.5	1088	2605	"u"
"550"	"w"	"f"	55	"er"	213.5	534	1418.5	1815	"ɚ"
"551"	"w"	"f"	56	"iy"	240.5	323.5	2685	3200	"i"
"552"	"w"	"f"	56	"ih"	235	413.5	2250	2955	"ɪ"
"553"	"w"	"f"	56	"eh"	223	657	2275	2940	"ɛ"
"554"	"w"	"f"	56	"ae"	229	802	1775	2820	"æ"
"555"	"w"	"f"	56	"ah"	223	747.5	1345	2745	"ʌ"
"556"	"w"	"f"	56	"aa"	218.5	842	1276	2780	"ɑ"
"557"	"w"	"f"	56	"ao"	225.5	679	1034.5	2695	"ɔ"
"558"	"w"	"f"	56	"uh"	245.5	443.5	1438	2625	"ʊ"
"559"	"w"	"f"	56	"uw"	237.5	379	1423	2595	"u"
"560"	"w"	"f"	56	"er"	227.5	435	1390	1854.5	"ɚ"
"561"	"w"	"f"	57	"iy"	253	379.5	2930	3305	"i"
"562"	"w"	"f"	57	"ih"	231.5	463.5	2672.5	3145	"ɪ"
"563"	"w"	"f"	57	"eh"	231	635	2465	2945	"ɛ"
"564"	"w"	"f"	57	"ae"	229	687.5	2535	3147.5	"æ"
"565"	"w"	"f"	57	"ah"	237	781	1443.5	2887.5	"ʌ"
"566"	"w"	"f"	57	"aa"	230	955.5	1356	2667	"ɑ"
"567"	"w"	"f"	57	"ao"	240	710	1085	2825	"ɔ"
"568"	"w"	"f"	57	"uh"	241	500	1227.5	2865	"ʊ"
"569"	"w"	"f"	57	"uw"	267.5	424	975	2905	"u"
"570"	"w"	"f"	57	"er"	243	486.5	1495	1737.5	"ɚ"
"571"	"w"	"f"	58	"iy"	265.5	305	2825	3125	"i"
"572"	"w"	"f"	58	"ih"	254.5	470	2320	2960	"ɪ"
"573"	"w"	"f"	58	"eh"	248	655	2235	2930	"ɛ"
"574"	"w"	"f"	58	"ae"	243.5	965	1960	2905	"æ"
"575"	"w"	"f"	58	"ah"	254.5	760	1310	2780	"ʌ"
"576"	"w"	"f"	58	"aa"	253	900	1140	3050	"ɑ"
"577"	"w"	"f"	58	"ao"	246	565	885	2725	"ɔ"
"578"	"w"	"f"	58	"uh"	257	615	1272.5	2530	"ʊ"
"579"	"w"	"f"	58	"uw"	263.5	450	1185	2585	"u"
"580"	"w"	"f"	58	"er"	252	605	1510	1975	"ɚ"
"581"	"w"	"f"	59	"iy"	247.5	280	2715	3010	"i"
"582"	"w"	"f"	59	"ih"	261	455	2490	3320	"ɪ"
"583"	"w"	"f"	59	"eh"	251	740	2320	3110	"ɛ"
"584"	"w"	"f"	59	"ae"	236.5	875	1995	2795	"æ"
"585"	"w"	"f"	59	"ah"	257	785	1475	2850	"ʌ"
"586"	"w"	"f"	59	"aa"	240.5	805	1230	3020	"ɑ"
"587"	"w"	"f"	59	"ao"	240	414	642.5	3070	"ɔ"
"588"	"w"	"f"	59	"uh"	253.5	490	1230	2635	"ʊ"
"589"	"w"	"f"	59	"uw"	270.5	404.5	1055	2825	"u"
"590"	"w"	"f"	59	"er"	237.5	465	1700	1895	"ɚ"
"591"	"w"	"f"	60	"iy"	216.5	260	2850	3400	"i"
"592"	"w"	"f"	60	"ih"	235	385	2565	3090	"ɪ"
"593"	"w"	"f"	60	"eh"	216.5	645	2395	3030	"ɛ"
"594"	"w"	"f"	60	"ae"	202.5	880	2125	2935	"æ"
"595"	"w"	"f"	60	"ah"	214	760	1535	2790	"ʌ"
"596"	"w"	"f"	60	"aa"	202.5	920	1410	2620	"ɑ"
"597"	"w"	"f"	60	"ao"	197	710	1105	2600	"ɔ"
"598"	"w"	"f"	60	"uh"	229.5	470	1195	2850	"ʊ"
"599"	"w"	"f"	60	"uw"	214	360	950	3075	"u"
"600"	"w"	"f"	60	"er"	211	515	1695	1975	"ɚ"
"601"	"w"	"f"	61	"iy"	260	286	2710	3185	"i"
"602"	"w"	"f"	61	"ih"	262.5	461	2290	2985	"ɪ"
"603"	"w"	"f"	61	"eh"	240	670	2045	2930	"ɛ"
"604"	"w"	"f"	61	"ae"	214	850	1830	2660	"æ"
"605"	"w"	"f"	61	"ah"	237.5	725	1405	2860	"ʌ"
"606"	"w"	"f"	61	"aa"	222	830	1057.5	2630	"ɑ"
"607"	"w"	"f"	61	"ao"	246.5	527.5	830	2755	"ɔ"
"608"	"w"	"f"	61	"uh"	266	425	1060	2490	"ʊ"
"609"	"w"	"f"	61	"uw"	267.5	310	650	2420	"u"
"610"	"w"	"f"	61	"er"	241.5	495	1605	2115	"ɚ"
"611"	"c"	"f"	62	"iy"	214	430	3350	3900	"i"
"612"	"c"	"f"	62	"ih"	205	605	2525	4050	"ɪ"
"613"	"c"	"f"	62	"eh"	217.5	680	2625	3725	"ɛ"
"614"	"c"	"f"	62	"ae"	200	900	2400	3975	"æ"
"615"	"c"	"f"	62	"ah"	211.5	1055	1720	3795	"ʌ"
"616"	"c"	"f"	62	"aa"	202.5	1260	1680	3550	"ɑ"
"617"	"c"	"f"	62	"ao"	218	675	1095	3875	"ɔ"
"618"	"c"	"f"	62	"uh"	213	620	1415	3610	"ʊ"
"619"	"c"	"f"	62	"uw"	216.5	420	775	3850	"u"
"620"	"c"	"f"	62	"er"	205	530	2225	2725	"ɚ"
"621"	"c"	"f"	63	"iy"	297.5	335	3450	4180	"i"
"622"	"c"	"f"	63	"ih"	323.5	645	3100	3730	"ɪ"
"623"	"c"	"f"	63	"eh"	277.5	775	3010	3715	"ɛ"
"624"	"c"	"f"	63	"ae"	270.5	1135	2280	3530	"æ"
"625"	"c"	"f"	63	"ah"	305	1065	1770	3560	"ʌ"
"626"	"c"	"f"	63	"aa"	274	1075	1400	3270	"ɑ"
"627"	"c"	"f"	63	"ao"	268.5	535	1070	3225	"ɔ"
"628"	"c"	"f"	63	"uh"	289.5	565	1445	3500	"ʊ"
"629"	"c"	"f"	63	"uw"	311.5	345	1220	3300	"u"
"630"	"c"	"f"	63	"er"	288.5	580	1770	2330	"ɚ"
"631"	"c"	"m"	64	"iy"	249	345	3245	3675	"i"
"632"	"c"	"m"	64	"ih"	270	540	2710	3450	"ɪ"
"633"	"c"	"m"	64	"eh"	245	726	2500	3400	"ɛ"
"634"	"c"	"m"	64	"ae"	227.5	710	2875	3335	"æ"
"635"	"c"	"m"	64	"ah"	246.5	865	1600	3225	"ʌ"
"636"	"c"	"m"	64	"aa"	263	1070	1440	2780	"ɑ"
"637"	"c"	"m"	64	"ao"	237.5	712.5	1100	3345	"ɔ"
"638"	"c"	"m"	64	"uh"	287.5	555	1435	3400	"ʊ"
"639"	"c"	"m"	64	"uw"	253	350	1290	3425	"u"
"640"	"c"	"m"	64	"er"	246	540	1580	1745	"ɚ"
"641"	"c"	"f"	65	"iy"	277.5	415	3300	3850	"i"
"642"	"c"	"f"	65	"ih"	285.5	570	2870	3860	"ɪ"
"643"	"c"	"f"	65	"eh"	281	795	2680	4150	"ɛ"
"644"	"c"	"f"	65	"ae"	257.5	1065	2450	3975	"æ"
"645"	"c"	"f"	65	"ah"	268	885	1640	3875	"ʌ"
"646"	"c"	"f"	65	"aa"	262.5	1070	1405	4050	"ɑ"
"647"	"c"	"f"	65	"ao"	279.5	740	1175	3925	"ɔ"
"648"	"c"	"f"	65	"uh"	281.5	660	1385	3875	"ʊ"
"649"	"c"	"f"	65	"uw"	290	462.5	1080	3520	"u"
"650"	"c"	"f"	65	"er"	292.5	625	2020	2710	"ɚ"
"651"	"c"	"f"	66	"iy"	331.5	475	2765	3550	"i"
"652"	"c"	"f"	66	"ih"	310	570	2500	3450	"ɪ"
"653"	"c"	"f"	66	"eh"	298	817.5	2360	3745	"ɛ"
"654"	"c"	"f"	66	"ae"	296	975	2150	3675	"æ"
"655"	"c"	"f"	66	"ah"	316.5	890	1650	3700	"ʌ"
"656"	"c"	"f"	66	"aa"	289.5	1020	1365	3740	"ɑ"
"657"	"c"	"f"	66	"ao"	309	725	980	3725	"ɔ"
"658"	"c"	"f"	66	"uh"	336	550	1267.5	3625	"ʊ"
"659"	"c"	"f"	66	"uw"	330.5	575	1150	3535	"u"
"660"	"c"	"f"	66	"er"	310	757.5	1702.5	2410	"ɚ"
"661"	"c"	"f"	67	"iy"	218.5	465	3505	4270	"i"
"662"	"c"	"f"	67	"ih"	227.5	560	3125	4085	"ɪ"
"663"	"c"	"f"	67	"eh"	214	635	2830	3630	"ɛ"
"664"	"c"	"f"	67	"ae"	214.5	1145	2625	3595	"æ"
"665"	"c"	"f"	67	"ah"	213.5	895	1440	3350	"ʌ"
"666"	"c"	"f"	67	"aa"	215	975	1315	2925	"ɑ"
"667"	"c"	"f"	67	"ao"	212.5	720	1145	3350	"ɔ"
"668"	"c"	"f"	67	"uh"	216.5	695	1430	3650	"ʊ"
"669"	"c"	"f"	67	"uw"	218	610	1190	3450	"u"
"670"	"c"	"f"	67	"er"	213.5	715	2185	2410	"ɚ"
"671"	"c"	"f"	68	"iy"	257.5	335	3175	3560	"i"
"672"	"c"	"f"	68	"ih"	264	515	2565	3640	"ɪ"
"673"	"c"	"f"	68	"eh"	252.5	730	2515	3515	"ɛ"
"674"	"c"	"f"	68	"ae"	239	1125	2245	3510	"æ"
"675"	"c"	"f"	68	"ah"	256.5	785	1515	3400	"ʌ"
"676"	"c"	"f"	68	"aa"	242.5	935	1385	3260	"ɑ"
"677"	"c"	"f"	68	"ao"	240	525	885	3410	"ɔ"
"678"	"c"	"f"	68	"uh"	257.5	515	1195	3320	"ʊ"
"679"	"c"	"f"	68	"uw"	267	335	695	3275	"u"
"680"	"c"	"f"	68	"er"	244.5	515	1575	1880	"ɚ"
"681"	"c"	"m"	69	"iy"	260	310	3080	3600	"i"
"682"	"c"	"m"	69	"ih"	288	545	2590	3580	"ɪ"
"683"	"c"	"m"	69	"eh"	271.5	650	2430	3490	"ɛ"
"684"	"c"	"m"	69	"ae"	255	960	2335	3200	"æ"
"685"	"c"	"m"	69	"ah"	260	750	1575	3295	"ʌ"
"686"	"c"	"m"	69	"aa"	264	935	1140	2860	"ɑ"
"687"	"c"	"m"	69	"ao"	256	770	1025	2700	"ɔ"
"688"	"c"	"m"	69	"uh"	269	535	1505	3260	"ʊ"
"689"	"c"	"m"	69	"uw"	277.5	435	1415	2925	"u"
"690"	"c"	"m"	69	"er"	263.5	540	1745	2155	"ɚ"
"691"	"c"	"m"	70	"iy"	239.5	298.5	2972.5	3450	"i"
"692"	"c"	"m"	70	"ih"	221	440	2500	3220	"ɪ"
"693"	"c"	"m"	70	"eh"	233.5	664.5	2287.5	3300	"ɛ"
"694"	"c"	"m"	70	"ae"	228	839	1975	3250	"æ"
"695"	"c"	"m"	70	"ah"	223.5	713	1445	3040	"ʌ"
"696"	"c"	"m"	70	"aa"	238.5	930	1355	3025	"ɑ"
"697"	"c"	"m"	70	"ao"	216.5	695	1020	2915	"ɔ"
"698"	"c"	"m"	70	"uh"	231	467.5	1230	2950	"ʊ"
"699"	"c"	"m"	70	"uw"	243	383	1010	2925	"u"
"700"	"c"	"m"	70	"er"	229	481	1565	1775	"ɚ"
"701"	"c"	"m"	71	"iy"	240	290	3270	3890	"i"
"702"	"c"	"m"	71	"ih"	237.5	425	2770	3675	"ɪ"
"703"	"c"	"m"	71	"eh"	217.5	600	2655	3660	"ɛ"
"704"	"c"	"m"	71	"ae"	236.5	920	2360	3305	"æ"
"705"	"c"	"m"	71	"ah"	240	730	1625	3385	"ʌ"
"706"	"c"	"m"	71	"aa"	233.5	990	1550	3205	"ɑ"
"707"	"c"	"m"	71	"ao"	228.5	695	1210	3475	"ɔ"
"708"	"c"	"m"	71	"uh"	233	475	1540	3540	"ʊ"
"709"	"c"	"m"	71	"uw"	281.5	340	1125	3305	"u"
"710"	"c"	"m"	71	"er"	236.5	450	1820	2400	"ɚ"
"711"	"c"	"m"	72	"iy"	280.5	335	2955	3705	"i"
"712"	"c"	"m"	72	"ih"	255	550	2735	3455	"ɪ"
"713"	"c"	"m"	72	"eh"	251.5	757.5	2505	3300	"ɛ"
"714"	"c"	"m"	72	"ae"	233.5	1005	2170	2740	"æ"
"715"	"c"	"m"	72	"ah"	262	915	1515	3075	"ʌ"
"716"	"c"	"m"	72	"aa"	240.5	875	1110	3150	"ɑ"
"717"	"c"	"m"	72	"ao"	279	877.5	1070	3000	"ɔ"
"718"	"c"	"m"	72	"uh"	273	530	1390	2850	"ʊ"
"719"	"c"	"m"	72	"uw"	280.5	420	1280	2800	"u"
"720"	"c"	"m"	72	"er"	259	495	1680	1965	"ɚ"
"721"	"c"	"f"	73	"iy"	281	365	3225	3850	"i"
"722"	"c"	"f"	73	"ih"	297	450	2930	3700	"ɪ"
"723"	"c"	"f"	73	"eh"	277.5	645	2770	3550	"ɛ"
"724"	"c"	"f"	73	"ae"	268.5	1100	2350	3105	"æ"
"725"	"c"	"f"	73	"ah"	280	712.5	1650	2930	"ʌ"
"726"	"c"	"f"	73	"aa"	279	1120	1515	2890	"ɑ"
"727"	"c"	"f"	73	"ao"	281	560	1000	2975	"ɔ"
"728"	"c"	"f"	73	"uh"	310	485	1475	3075	"ʊ"
"729"	"c"	"f"	73	"uw"	303.5	430	1580	3035	"u"
"730"	"c"	"f"	73	"er"	293	540	1910	2170	"ɚ"
"731"	"c"	"m"	74	"iy"	287.5	287.5	3265	3825	"i"
"732"	"c"	"m"	74	"ih"	276.5	527.5	2740	3425	"ɪ"
"733"	"c"	"m"	74	"eh"	274	610	2890	3550	"ɛ"
"734"	"c"	"m"	74	"ae"	260	1300	2220	3215	"æ"
"735"	"c"	"m"	74	"ah"	268.5	845	1560	2950	"ʌ"
"736"	"c"	"m"	74	"aa"	268	1160	1265	3090	"ɑ"
"737"	"c"	"m"	74	"ao"	275	767.5	940	2910	"ɔ"
"738"	"c"	"m"	74	"uh"	291.5	570	1430	2975	"ʊ"
"739"	"c"	"m"	74	"uw"	282	365	1225	2955	"u"
"740"	"c"	"m"	74	"er"	283	540	1655	1755	"ɚ"
"741"	"c"	"m"	75	"iy"	277.5	370	2930	3440	"i"
"742"	"c"	"m"	75	"ih"	280.5	500	2670	3240	"ɪ"
"743"	"c"	"m"	75	"eh"	267	597.5	2480	3135	"ɛ"
"744"	"c"	"m"	75	"ae"	268.5	942.5	2080	2890	"æ"
"745"	"c"	"m"	75	"ah"	275	785	1565	3205	"ʌ"
"746"	"c"	"m"	75	"aa"	272.5	905	1355	2970	"ɑ"
"747"	"c"	"m"	75	"ao"	272.5	542.5	1025	2905	"ɔ"
"748"	"c"	"m"	75	"uh"	285	560	1460	3020	"ʊ"
"749"	"c"	"m"	75	"uw"	280.5	505	1670	3035	"u"
"750"	"c"	"m"	75	"er"	271.5	526	1815	2300	"ɚ"
"751"	"c"	"f"	76	"iy"	332	347	3180	3700	"i"
"752"	"c"	"f"	76	"ih"	314	565	2830	3500	"ɪ"
"753"	"c"	"f"	76	"eh"	307.5	815	2695	3595	"ɛ"
"754"	"c"	"f"	76	"ae"	266.5	1135	2500	3190	"æ"
"755"	"c"	"f"	76	"ah"	312.5	940	1605	3135	"ʌ"
"756"	"c"	"f"	76	"aa"	332	1130	1465	3050	"ɑ"
"757"	"c"	"f"	76	"ao"	315	870	1225	3215	"ɔ"
